rooms,type,sellerg,distance,bathroom,lattitude,longtitude,regionname,propertycount,year_sold,landsize_log,price
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.7996,144.9984,8.981710822622107,4019.0,2016,5.313205979041787,1480000.0
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.8079,144.9934,8.981710822622107,4019.0,2016,5.056245805348308,1035000.0
3,12.426647611387448,10.185216284987277,2.5,2.0,-37.8093,144.9944,8.981710822622107,4019.0,2017,4.90527477843843,1465000.0
3,12.426647611387448,10.185216284987277,2.5,2.0,-37.7969,144.9969,8.981710822622107,4019.0,2017,4.553876891600541,850000.0
4,12.426647611387448,10.149764536741214,2.5,1.0,-37.8072,144.9941,8.981710822622107,4019.0,2016,4.795790545596741,1600000.0
2,12.426647611387448,13.681634483282675,2.5,1.0,-37.8041,144.9953,8.981710822622107,4019.0,2016,5.204006687076795,941000.0
3,12.426647611387448,10.149764536741214,2.5,2.0,-37.8024,144.9993,8.981710822622107,4019.0,2016,5.5053315359323625,1876000.0
2,12.426647611387448,10.149764536741214,2.5,1.0,-37.806,144.9954,8.981710822622107,4019.0,2016,5.54907608489522,1636000.0
1,6.051274845873384,10.185216284987277,2.5,1.0,-37.8008,144.9973,8.981710822622107,4019.0,2016,0.0,300000.0
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.801,144.9989,8.981710822622107,4019.0,2016,5.3981627015177525,1097000.0
2,6.051274845873384,13.681634483282675,2.5,2.0,-37.811,145.0067,8.981710822622107,4019.0,2016,0.0,700000.0
3,12.426647611387448,10.149764536741214,2.5,2.0,-37.8085,144.9964,8.981710822622107,4019.0,2016,5.3706380281276624,1350000.0
2,6.051274845873384,10.185216284987277,2.5,2.0,-37.8078,144.9965,8.981710822622107,4019.0,2016,0.0,750000.0
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.8084,144.9973,8.981710822622107,4019.0,2016,5.278114659230517,1172500.0
1,6.051274845873384,12.301380752661917,2.5,1.0,-37.8016,144.9988,8.981710822622107,4019.0,2016,0.0,441000.0
2,12.426647611387448,13.681634483282675,2.5,1.0,-37.809,144.9976,8.981710822622107,4019.0,2016,5.476463551931511,1310000.0
3,12.426647611387448,13.681634483282675,2.5,2.0,-37.8056,144.993,8.981710822622107,4019.0,2016,4.736198448394496,1200000.0
3,12.426647611387448,7.099726732140887,2.5,1.0,-37.8021,144.9965,8.981710822622107,4019.0,2016,4.9344739331306915,1176500.0
3,12.426647611387448,13.625631807739211,2.5,1.0,-37.8022,144.9975,8.981710822622107,4019.0,2016,5.214935757608986,955000.0
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.8011,145.0004,8.981710822622107,4019.0,2016,5.017279836814924,890000.0
4,12.426647611387448,19.461815331510635,2.5,2.0,-37.8073,144.9952,8.981710822622107,4019.0,2017,6.660575149839686,1330000.0
3,9.337350538599642,9.46790994403365,2.5,2.0,-37.8093,144.9959,8.981710822622107,4019.0,2017,0.0,900000.0
3,6.051274845873384,13.681634483282675,2.5,2.0,-37.8078,144.9965,8.981710822622107,4019.0,2017,8.364275084991524,1090000.0
2,6.051274845873384,13.625631807739211,2.5,1.0,-37.8015,144.9972,8.981710822622107,4019.0,2016,0.0,500000.0
2,12.426647611387448,10.185216284987277,2.5,2.0,-37.8079,144.9977,8.981710822622107,4019.0,2016,4.8283137373023015,1100000.0
2,12.426647611387448,18.888439119878605,2.5,1.0,-37.808,144.994,8.981710822622107,4019.0,2016,4.997212273764115,1315000.0
1,6.051274845873384,12.301380752661917,2.5,1.0,-37.8016,144.9988,8.981710822622107,4019.0,2016,0.0,426000.0
3,12.426647611387448,10.149764536741214,2.5,3.0,-37.8017,145.0001,8.981710822622107,4019.0,2016,5.117993812416755,1447500.0
1,6.051274845873384,13.681634483282675,2.5,1.0,-37.8078,144.9965,8.981710822622107,4019.0,2016,0.0,457000.0
2,12.426647611387448,10.149764536741214,2.5,2.0,-37.8005,144.9952,8.981710822622107,4019.0,2016,4.59511985013459,1135000.0
4,12.426647611387448,13.625631807739211,2.5,3.0,-37.7994,144.9965,8.981710822622107,4019.0,2016,0.0,1542000.0
3,12.426647611387448,10.185216284987277,2.5,2.0,-37.805,144.9943,8.981710822622107,4019.0,2017,4.997212273764115,1290000.0
3,12.426647611387448,10.185216284987277,2.5,1.0,-37.8007,144.9958,8.981710822622107,4019.0,2017,5.1298987149230735,1290000.0
1,6.051274845873384,10.149764536741214,2.5,1.0,-37.8055,144.9961,8.981710822622107,4019.0,2016,0.0,470000.0
2,12.426647611387448,13.681634483282675,2.5,1.0,-37.8016,144.9956,8.981710822622107,4019.0,2016,5.093750200806762,1180000.0
3,12.426647611387448,13.681634483282675,2.5,2.0,-37.8022,144.9954,8.981710822622107,4019.0,2016,4.795790545596741,1195000.0
2,12.426647611387448,10.149764536741214,2.5,1.0,-37.8021,144.9976,8.981710822622107,4019.0,2016,5.209486152841421,1012500.0
2,12.426647611387448,10.185216284987277,2.5,1.0,-37.8086,144.9946,8.981710822622107,4019.0,2016,5.153291594497779,1030000.0
3,9.337350538599642,10.149764536741214,13.5,2.0,-37.718,144.878,8.664205200135687,3464.0,2016,5.717027701406222,840000.0
3,12.426647611387448,10.149764536741214,13.5,2.0,-37.7203,144.8755,8.664205200135687,3464.0,2016,0.0,730000.0
3,12.426647611387448,10.149764536741214,13.5,2.0,-37.7203,144.8755,8.664205200135687,3464.0,2017,0.0,770000.0
2,12.426647611387448,10.149764536741214,13.5,1.0,-37.7294,144.888,8.664205200135687,3464.0,2017,5.60947179518496,603000.0
3,9.337350538599642,8.357783625731019,13.5,2.0,-37.7218,144.8837,8.664205200135687,3464.0,2017,5.480638923341991,700000.0
3,12.426647611387448,10.39793959863028,13.5,1.0,-37.7273,144.8744,8.664205200135687,3464.0,2017,5.673323267171493,600000.0
2,6.051274845873384,8.763031414441148,13.5,1.0,-37.7215,144.8864,8.664205200135687,3464.0,2017,5.1298987149230735,500000.0
3,12.426647611387448,8.763031414441148,13.5,1.0,-37.7173,144.8872,8.664205200135687,3464.0,2016,6.431331081933479,720000.0
4,12.426647611387448,10.09171667465797,13.5,1.0,-37.7259,144.8792,8.664205200135687,3464.0,2016,6.393590753950631,785000.0
6,12.426647611387448,8.763031414441148,13.5,3.0,-37.7239,144.8735,8.664205200135687,3464.0,2016,6.884486652042782,725000.0
2,9.337350538599642,8.763031414441148,13.5,1.0,-37.7216,144.871,8.664205200135687,3464.0,2016,4.709530201312334,450000.0
2,6.051274845873384,8.763031414441148,13.5,1.0,-37.7298,144.8883,8.664205200135687,3464.0,2016,4.955827057601261,515000.0
2,6.051274845873384,10.149764536741214,13.5,1.0,-37.7234,144.8792,8.664205200135687,3464.0,2016,4.795790545596741,530000.0
3,12.426647611387448,10.008473375464202,13.5,1.0,-37.7249,144.8728,8.664205200135687,3464.0,2016,6.96979066990159,895000.0
3,12.426647611387448,10.149764536741214,13.5,1.0,-37.7217,144.8783,8.664205200135687,3464.0,2016,0.0,805000.0
3,6.051274845873384,10.149764536741214,13.5,1.0,-37.7302,144.8855,8.664205200135687,3464.0,2017,5.583496308781699,752000.0
2,6.051274845873384,8.763031414441148,13.5,1.0,-37.7177,144.8787,8.664205200135687,3464.0,2016,5.262690188904886,440000.0
5,12.426647611387448,10.33960363124678,13.5,2.0,-37.7248,144.8699,8.664205200135687,3464.0,2016,6.391917113392602,755000.0
3,9.337350538599642,8.357783625731019,13.5,2.0,-37.727,144.887,8.664205200135687,3464.0,2016,5.111987788356544,700000.0
3,12.426647611387448,8.763031414441148,13.5,1.0,-37.7186,144.876,8.664205200135687,3464.0,2016,6.879355804460439,830000.0
2,6.051274845873384,8.763031414441148,13.5,1.0,-37.7218,144.8863,8.664205200135687,3464.0,2016,5.10594547390058,462500.0
3,12.426647611387448,8.763031414441148,13.5,2.0,-37.7269,144.8742,8.664205200135687,3464.0,2016,6.489204931325317,670000.0
2,12.426647611387448,8.763031414441148,13.5,1.0,-37.7187,144.8765,8.664205200135687,3464.0,2016,6.418364935936212,675000.0
3,12.426647611387448,10.149764536741214,13.5,2.0,-37.7173,144.8796,8.664205200135687,3464.0,2016,6.418364935936212,1042000.0
3,12.426647611387448,10.779551855866629,13.5,1.0,-37.7231,144.8835,8.664205200135687,3464.0,2016,6.654152520183219,910000.0
4,12.426647611387448,8.357783625731019,13.5,3.0,-37.7263,144.8679,8.664205200135687,3464.0,2016,6.2766434893416445,773000.0
3,12.426647611387448,8.763031414441148,13.5,3.0,-37.7285,144.8694,8.664205200135687,3464.0,2017,6.320768294250582,810000.0
3,12.426647611387448,10.008473375464202,13.5,2.0,-37.7164,144.8792,8.664205200135687,3464.0,2017,6.0473721790462776,715000.0
3,12.426647611387448,10.149764536741214,13.5,1.0,-37.7194,144.8827,8.664205200135687,3464.0,2017,6.421622267806518,790000.0
3,9.337350538599642,10.149764536741214,13.5,2.0,-37.7231,144.8802,8.664205200135687,3464.0,2016,5.087596335232384,540000.0
3,9.337350538599642,8.763031414441148,13.5,2.0,-37.72,144.8776,8.664205200135687,3464.0,2016,5.683579767338681,825000.0
3,12.426647611387448,8.763031414441148,13.5,1.0,-37.7226,144.8733,8.664205200135687,3464.0,2016,6.363028103540465,685000.0
3,12.426647611387448,8.763031414441148,13.5,1.0,-37.7184,144.882,8.664205200135687,3464.0,2016,6.436150368369428,805000.0
2,6.051274845873384,10.149764536741214,13.5,1.0,-37.7202,144.8797,8.664205200135687,3464.0,2016,4.955827057601261,510000.0
3,12.426647611387448,10.149764536741214,13.5,2.0,-37.7181,144.8824,8.664205200135687,3464.0,2016,5.3612921657094255,612000.0
3,12.426647611387448,8.357783625731019,13.5,1.0,-37.7169,144.8815,8.664205200135687,3464.0,2016,6.418364935936212,662000.0
4,12.426647611387448,10.149764536741214,13.5,3.0,-37.7263,144.869,8.664205200135687,3464.0,2016,6.278521424165844,978000.0
